Date_spry,Time_spry,Latitude_spry,Longitude_spry,day_spry,month_spry,year_spry,Date_trn,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude_trn,Longitude_trn,AddressAccuracy,NumMosquitos,WnvPresent,day_trn,month_trn,year,Street_effect,Species_lb,Address_lb,Station,Date_wthr,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,day_wthr,month_wthr,year_wthr,CodeSum_lb,Tmax:Tmin:Sunst,Tavg:WB,Hot_web,DP:Tmin,P:sea:WB,T_diff,Dry,Dry_Wet_Diff,month_cat,DewPoint:Sunrise
2011-09-07,200600.0,41.9795283333333,-87.8327966666667,7,9,2011,2007-08-21,"5200 South Kolmar Avenue, Chicago, IL 60632, USA",CULEX PIPIENS/RESTUANS,52, S KOLMAR,T114,"5200  S KOLMAR, Chicago, IL",41.798697,-87.736812,8,8,1,21,8,2007,1,1,86,1,2007-05-01,83.0,50.0,67.0,51,56.0,0.0,2.0,448.0,1849.0, ,0.0,0.0,0.0,29.1,29.82,1.7,27,9.2,1,5,2007,0,61017.0,3752.0,0.0,2550.0,54.64788732394365,1,1,0,1,22848.0
2011-09-07,,41.9943403050176,-87.8092629008585,7,9,2011,2007-09-12,"South Stony Island Avenue, Chicago, IL, USA",CULEX PIPIENS/RESTUANS,10, S STONY ISLAND AVE,T138,"1000  S STONY ISLAND AVE, Chicago, IL",41.72646500000001,-87.585413,5,10,0,12,9,2007,1,1,4,2,2007-05-01,84.0,52.0,68.0,51,57.0,0.0,3.0,448.0,1849.0, ,0.0,0.0,0.0,29.18,29.82,2.7,25,9.6,1,5,2007,0,59168.0,3876.0,0.0,2652.0,55.77665995975856,1,1,1,1,22848.0
2011-09-07,194432.0,41.98646,-87.794225,7,9,2011,2007-08-15,"South Avenue L, Chicago, IL 60617, USA",CULEX PIPIENS/RESTUANS,11, S AVENUE L,T103,"1100  S AVENUE L, Chicago, IL",41.702723999999996,-87.536497,5,50,0,15,8,2007,1,1,11,1,2007-05-02,59.0,42.0,51.0,42,47.0,14.0,0.0,447.0,1850.0,BR,0.0,0.0,0.0,29.38,30.09,13.0,4,13.4,2,5,2007,2,31450.0,2397.0,0.0,1764.0,45.89099368560984,0,0,0,1,18774.0
2011-09-07,194432.0,41.98646,-87.794225,7,9,2011,2007-08-16,"South Stony Island Avenue, Chicago, IL, USA",CULEX PIPIENS,10, S STONY ISLAND AVE,T138,"1000  S STONY ISLAND AVE, Chicago, IL",41.72646500000001,-87.585413,5,50,0,16,8,2007,1,0,4,2,2007-05-02,60.0,43.0,52.0,42,47.0,13.0,0.0,447.0,1850.0,BR HZ,0.0,0.0,0.0,29.44,30.08,13.3,2,13.4,2,5,2007,3,31450.0,2444.0,0.0,1806.0,46.00000000000001,0,0,0,1,18774.0
2011-09-07,,41.9951083413141,-87.8169912660917,7,9,2011,2007-09-04,"6000 West Roscoe Street, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,60, W ROSCOE ST,T005,"6000  W ROSCOE ST, Chicago, IL",41.942114000000004,-87.776385,8,2,0,4,9,2007,0,1,97,1,2007-05-03,66.0,46.0,56.0,40,48.0,9.0,0.0,446.0,1851.0, ,0.0,0.0,0.0,29.39,30.12,11.7,7,11.9,3,5,2007,0,37020.0,2688.0,0.0,1840.0,46.83665338645419,0,0,1,1,17840.0
2011-09-07,,41.9953963549253,-87.8140631277114,7,9,2011,2007-08-02,"9600 South Hoyne Avenue, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,96, S HOYNE AVE,T161,"9600  S HOYNE AVE, Chicago, IL",41.719059,-87.675088,9,2,0,2,8,2007,1,1,132,2,2007-05-03,67.0,48.0,58.0,40,50.0,7.0,0.0,446.0,1851.0,HZ,0.0,0.0,0.0,29.46,30.12,12.9,6,13.2,3,5,2007,19,35169.0,2900.0,0.0,1920.0,48.90438247011952,0,0,1,1,17840.0
2011-09-07,194432.0,41.98646,-87.794225,7,9,2011,2007-08-09,"South Brandon Avenue, Chicago, IL 60617, USA",CULEX RESTUANS,13, S BRANDON,T209,"1300  S BRANDON, Chicago, IL",41.740641,-87.546587,5,1,0,9,8,2007,1,2,21,1,2007-05-04,66.0,49.0,58.0,41,50.0,7.0,0.0,444.0,1852.0,RA,0.0,0.0,0.01,29.31,30.05,10.4,8,10.8,4,5,2007,23,31484.0,2900.0,0.66,2009.0,48.76871880199667,0,0,1,1,18204.0
2011-09-07,205140.0,41.9741483333333,-87.8216333333333,7,9,2011,2007-09-24,"4600 Milwaukee Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,46, N MILWAUKEE AVE,T003,"4600  N MILWAUKEE AVE, Chicago, IL",41.964242,-87.757639,8,6,0,24,9,2007,1,1,77,2,2007-05-04,78.0,51.0,69.0,42,50.0,0.0,4.0,444.0,1852.0, ,0.0,0.0,0.0,29.36,30.04,10.1,7,10.4,4,5,2007,0,50004.0,3450.0,0.0,2142.0,48.8681757656458,1,0,1,1,18648.0
2011-09-07,210206.0,41.97521500000001,-87.8120583333333,7,9,2011,2007-08-02,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,9,1,2,8,2007,1,1,42,1,2007-05-05,66.0,53.0,60.0,38,49.0,5.0,0.0,443.0,1853.0, ,0.0,0.0,0.01,29.4,30.1,11.7,7,12.0,5,5,2007,0,24089.0,2940.0,0.66,2014.0,47.86046511627906,0,0,1,1,16834.0
2011-09-07,194432.0,41.98646,-87.794225,7,9,2011,2007-08-01,"South Doty Avenue, Chicago, IL, USA",CULEX PIPIENS,12, S DOTY AVE,T115,"1200  S DOTY AVE, Chicago, IL",41.673408,-87.599862,5,50,0,1,8,2007,1,0,18,2,2007-05-05,66.0,54.0,60.0,39,50.0,5.0,0.0,443.0,1853.0, ,0.0,0.0,0.01,29.46,30.09,11.2,7,11.5,5,5,2007,0,22236.0,3000.0,0.66,2106.0,48.953140578265206,0,0,1,1,17277.0
2011-09-07,,41.9899720985815,-87.80484669215393,7,9,2011,2007-08-01,"6300 West 64th Street, Chicago, IL 60638, USA",CULEX PIPIENS/RESTUANS,63, W 64TH ST,T155,"6300  W 64TH ST, Chicago, IL",41.776156,-87.778927,9,2,0,1,8,2007,1,1,103,1,2007-05-06,68.0,49.0,59.0,30,46.0,6.0,0.0,442.0,1855.0, ,0.0,0.0,0.0,29.57,30.29,14.4,11,15.0,6,5,2007,0,35245.0,2714.0,0.0,1470.0,44.90656982502476,0,0,1,1,13260.0
2011-09-07,,41.985027864923,-87.79769435414309,7,9,2011,2007-10-04,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,5,0,4,10,2007,1,0,42,2,2007-05-06,68.0,52.0,60.0,30,46.0,5.0,0.0,442.0,1855.0, ,0.0,0.0,0.0,29.62,30.28,13.8,10,14.5,6,5,2007,0,29680.0,2760.0,0.0,1560.0,44.997357992073965,0,0,1,1,13260.0
2011-09-07,205642.0,41.9772066666667,-87.804725,7,9,2011,2007-09-24,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX PIPIENS,70,  W ARMITAGE AVENUE,T151,"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,8,22,0,24,9,2007,1,0,112,1,2007-05-07,83.0,47.0,65.0,41,54.0,0.0,0.0,441.0,1856.0,RA,0.0,0.0,0.01,29.38,30.12,8.6,18,10.5,7,5,2007,23,66816.0,3510.0,0.8300000000000001,1927.0,52.67330677290836,1,1,1,1,18081.0
2011-09-07,203842.0,41.97211,-87.798975,7,9,2011,2007-08-24,"1700 North Pulaski Road, Chicago, IL 60639, USA",CULEX PIPIENS,17, N PULASKI RD,T039,"1700  N PULASKI RD, Chicago, IL",41.911823999999996,-87.726737,9,4,0,24,8,2007,1,0,29,2,2007-05-07,84.0,50.0,67.0,39,53.0,0.0,2.0,441.0,1856.0, ,0.0,0.0,0.0,29.44,30.12,8.5,17,9.9,7,5,2007,0,63104.0,3551.0,0.0,1950.0,51.80345285524569,1,0,1,1,17199.0
2011-09-07,201800.0,41.98121,-87.83121,7,9,2011,2007-09-12,"3500 West 51st Street, Chicago, IL 60632, USA",CULEX PIPIENS,35, W 51ST ST,T062,"3500  W 51ST ST, Chicago, IL",41.800737,-87.71188000000002,8,15,0,12,9,2007,1,0,57,1,2007-05-08,82.0,54.0,68.0,58,62.0,0.0,3.0,439.0,1857.0,BR,0.0,0.0,0.0,29.29,30.03,2.7,11,5.8,8,5,2007,2,51996.0,4216.0,0.0,3132.0,60.47219447219448,1,1,0,1,25462.0
