Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,CodeSum_lb
1,83.0,50.0,67.0,51,56.0,0.0,2.0,448.0,448.0,0.0,0.0,0.0,29.1,29.82,1.7,27,9.2,0
2,84.0,52.0,68.0,51,57.0,0.0,3.0,448.0,448.0,0.0,0.0,0.0,29.18,29.82,2.7,25,9.6,0
1,59.0,42.0,51.0,42,47.0,14.0,0.0,447.0,447.0,0.0,0.0,0.0,29.38,30.09,13.0,4,13.4,2
2,60.0,43.0,52.0,42,47.0,13.0,0.0,447.0,447.0,0.0,0.0,0.0,29.44,30.08,13.3,2,13.4,3
1,66.0,46.0,56.0,40,48.0,9.0,0.0,446.0,446.0,0.0,0.0,0.0,29.39,30.12,11.7,7,11.9,0
2,67.0,48.0,58.0,40,50.0,7.0,0.0,446.0,446.0,0.0,0.0,0.0,29.46,30.12,12.9,6,13.2,19
1,66.0,49.0,58.0,41,50.0,7.0,0.0,444.0,444.0,0.0,0.0,0.01,29.31,30.05,10.4,8,10.8,23
2,78.0,51.0,69.0,42,50.0,0.0,4.0,444.0,444.0,0.0,0.0,0.0,29.36,30.04,10.1,7,10.4,0
1,66.0,53.0,60.0,38,49.0,5.0,0.0,443.0,443.0,0.0,0.0,0.01,29.4,30.1,11.7,7,12.0,0
2,66.0,54.0,60.0,39,50.0,5.0,0.0,443.0,443.0,0.0,0.0,0.01,29.46,30.09,11.2,7,11.5,0
1,68.0,49.0,59.0,30,46.0,6.0,0.0,442.0,442.0,0.0,0.0,0.0,29.57,30.29,14.4,11,15.0,0
2,68.0,52.0,60.0,30,46.0,5.0,0.0,442.0,442.0,0.0,0.0,0.0,29.62,30.28,13.8,10,14.5,0
1,83.0,47.0,65.0,41,54.0,0.0,0.0,441.0,441.0,0.0,0.0,0.01,29.38,30.12,8.6,18,10.5,23
2,84.0,50.0,67.0,39,53.0,0.0,2.0,441.0,441.0,0.0,0.0,0.0,29.44,30.12,8.5,17,9.9,0
1,82.0,54.0,68.0,58,62.0,0.0,3.0,439.0,439.0,0.0,0.0,0.0,29.29,30.03,2.7,11,5.8,2
2,80.0,60.0,70.0,57,63.0,0.0,5.0,439.0,439.0,0.0,0.0,0.01,29.36,30.02,2.5,8,5.4,19
1,77.0,61.0,69.0,59,63.0,0.0,4.0,438.0,438.0,0.0,0.0,0.13,29.21,29.94,3.9,9,6.2,3
2,76.0,63.0,70.0,60,63.0,0.0,5.0,438.0,438.0,0.0,0.0,0.02,29.28,29.93,3.9,7,5.9,3
1,84.0,56.0,70.0,52,60.0,0.0,5.0,437.0,437.0,0.0,0.0,0.0,29.2,29.92,0.7,17,4.1,2
2,83.0,59.0,71.0,52,61.0,0.0,6.0,437.0,437.0,0.0,0.0,0.0,29.26,29.91,2.0,9,3.9,3
1,70.0,51.0,61.0,42,51.0,4.0,0.0,436.0,436.0,0.0,0.0,0.0,29.33,30.04,11.3,3,12.9,0
2,73.0,49.0,61.0,44,51.0,4.0,0.0,436.0,436.0,0.0,0.0,0.0,29.39,30.03,11.7,36,12.8,0
1,64.0,46.0,55.0,36,46.0,10.0,0.0,435.0,435.0,0.0,0.0,0.0,29.49,30.2,12.4,3,12.9,0
2,65.0,47.0,56.0,37,46.0,9.0,0.0,435.0,435.0,0.0,0.0,0.0,29.54,30.19,12.7,1,13.0,0
1,69.0,43.0,56.0,33,46.0,9.0,0.0,434.0,434.0,0.0,0.0,0.0,29.49,30.24,6.6,14,8.1,0
2,69.0,44.0,57.0,32,46.0,8.0,0.0,434.0,434.0,0.0,0.0,0.0,29.55,30.24,6.4,11,7.6,0
1,90.0,56.0,73.0,47,59.0,0.0,8.0,433.0,433.0,0.0,0.0,0.0,29.23,29.97,16.9,21,17.3,0
2,90.0,54.0,72.0,45,58.0,0.0,7.0,433.0,433.0,0.0,0.0,0.0,29.31,29.98,14.1,21,14.6,0
1,80.0,57.0,69.0,56,61.0,0.0,4.0,432.0,432.0,0.0,0.0,0.38,29.13,29.84,8.1,27,12.3,25
2,82.0,56.0,69.0,56,61.0,0.0,4.0,432.0,432.0,0.0,0.0,0.6,29.19,29.83,8.1,25,10.8,84
1,66.0,44.0,55.0,43,48.0,10.0,0.0,431.0,431.0,0.0,0.0,0.14,29.33,30.03,7.8,36,12.2,25
2,64.0,45.0,55.0,42,47.0,10.0,0.0,431.0,431.0,0.0,0.0,0.07,29.39,30.03,8.0,36,11.8,25
1,62.0,43.0,53.0,32,43.0,12.0,0.0,430.0,430.0,0.0,0.0,0.0,29.55,30.27,10.5,3,11.3,0
2,61.0,44.0,53.0,32,43.0,12.0,0.0,430.0,430.0,0.0,0.0,0.0,29.62,30.27,11.7,1,12.2,0
1,71.0,42.0,57.0,30,46.0,8.0,0.0,429.0,429.0,0.0,0.0,0.0,29.53,30.25,5.4,25,7.5,0
2,70.0,43.0,57.0,31,47.0,8.0,0.0,429.0,429.0,0.0,0.0,0.0,29.6,30.26,3.4,22,5.5,0
1,80.0,56.0,68.0,39,53.0,0.0,3.0,428.0,428.0,0.0,0.0,0.0,29.34,30.08,11.1,24,11.4,0
2,80.0,56.0,68.0,37,53.0,0.0,3.0,428.0,428.0,0.0,0.0,0.0,29.41,30.08,11.1,23,11.4,0
1,69.0,43.0,56.0,40,44.0,9.0,0.0,427.0,427.0,0.0,0.0,0.07,29.38,30.11,10.4,4,10.7,48
2,69.0,44.0,57.0,41,45.0,8.0,0.0,427.0,427.0,0.0,0.0,0.11,29.44,30.11,8.6,3,9.7,83
1,80.0,44.0,62.0,50,56.0,3.0,0.0,426.0,426.0,0.0,0.0,0.0,29.33,30.06,6.3,11,8.2,0
2,79.0,46.0,63.0,50,57.0,2.0,0.0,426.0,426.0,0.0,0.0,0.0,29.39,30.05,6.3,10,7.8,0
1,87.0,55.0,71.0,46,58.0,0.0,6.0,425.0,425.0,0.0,0.0,0.0,29.34,30.06,10.0,18,10.2,0
2,87.0,60.0,74.0,44,58.0,0.0,9.0,425.0,425.0,0.0,0.0,0.0,29.41,30.05,10.1,16,10.6,0
1,89.0,60.0,75.0,49,61.0,0.0,10.0,425.0,425.0,0.0,0.0,0.0,29.39,30.1,11.4,19,11.8,0
2,89.0,66.0,78.0,48,61.0,0.0,13.0,425.0,425.0,0.0,0.0,0.0,29.47,30.1,10.9,18,11.2,0
1,88.0,63.0,76.0,54,63.0,0.0,11.0,424.0,424.0,0.0,0.0,0.02,29.41,30.11,14.9,21,17.3,45
2,88.0,66.0,77.0,53,63.0,0.0,12.0,424.0,424.0,0.0,0.0,0.01,29.47,30.1,13.8,20,15.2,45
1,70.0,56.0,63.0,44,53.0,2.0,0.0,423.0,423.0,0.0,0.0,0.01,29.51,30.24,4.9,5,8.8,0
2,66.0,57.0,62.0,46,53.0,3.0,0.0,423.0,423.0,0.0,0.0,0.09,29.57,30.23,4.5,5,8.2,25
1,65.0,49.0,57.0,55,56.0,8.0,0.0,422.0,422.0,0.0,0.0,1.01,29.36,30.11,2.8,17,7.2,85
2,70.0,50.0,60.0,55,57.0,5.0,0.0,422.0,422.0,0.0,0.0,0.28,29.42,30.1,2.5,15,7.8,84
1,75.0,57.0,66.0,47,56.0,0.0,1.0,422.0,422.0,0.0,0.0,0.04,29.34,30.06,8.9,26,9.5,25
2,75.0,59.0,67.0,49,57.0,0.0,2.0,422.0,422.0,0.0,0.0,0.08,29.41,30.05,8.2,24,9.2,25
1,79.0,50.0,65.0,47,56.0,0.0,0.0,421.0,421.0,0.0,0.0,0.01,29.43,30.15,4.8,10,5.3,23
2,76.0,54.0,65.0,49,57.0,0.0,0.0,421.0,421.0,0.0,0.0,0.0,29.49,30.14,4.7,8,5.2,0
1,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,3
2,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4,3
1,87.0,66.0,77.0,58,65.0,0.0,12.0,420.0,420.0,0.0,0.0,0.0,29.31,30.04,10.3,19,10.6,19
2,89.0,70.0,80.0,57,66.0,0.0,15.0,420.0,420.0,0.0,0.0,0.0,29.38,30.03,9.7,17,10.1,19
1,78.0,65.0,72.0,61,65.0,0.0,7.0,420.0,420.0,0.0,0.0,0.01,29.28,30.0,9.3,19,9.9,45
2,80.0,68.0,74.0,61,66.0,0.0,9.0,420.0,420.0,0.0,0.0,0.53,29.34,29.99,8.9,18,9.2,25
1,85.0,62.0,74.0,63,66.0,0.0,9.0,419.0,419.0,0.0,0.0,0.19,29.19,29.91,4.2,17,6.4,74
2,86.0,67.0,77.0,63,67.0,0.0,12.0,419.0,419.0,0.0,0.0,0.21,29.25,29.9,4.7,16,5.8,74
1,81.0,65.0,73.0,63,67.0,0.0,8.0,419.0,419.0,0.0,0.0,0.04,29.03,29.77,6.5,22,7.4,25
2,81.0,68.0,75.0,62,67.0,0.0,10.0,419.0,419.0,0.0,0.0,0.01,29.1,29.76,7.5,21,8.2,25
1,78.0,62.0,70.0,60,63.0,0.0,5.0,418.0,418.0,0.0,0.0,0.01,28.82,29.56,5.2,25,6.7,85
2,77.0,64.0,71.0,60,64.0,0.0,6.0,418.0,418.0,0.0,0.0,0.32,28.87,29.54,4.9,24,7.2,30
1,71.0,58.0,65.0,58,60.0,0.0,0.0,418.0,418.0,0.0,0.0,0.39,28.82,29.52,7.8,31,9.7,84
2,72.0,56.0,64.0,57,60.0,1.0,0.0,418.0,418.0,0.0,0.0,0.31,28.88,29.51,7.9,30,10.1,25
1,64.0,47.0,56.0,48,51.0,9.0,0.0,417.0,417.0,0.0,0.0,0.42,29.1,29.79,5.2,5,7.6,25
2,63.0,51.0,57.0,47,52.0,8.0,0.0,417.0,417.0,0.0,0.0,0.27,29.16,29.78,6.2,3,8.1,25
1,71.0,44.0,58.0,48,55.0,7.0,0.0,417.0,417.0,0.0,0.0,0.01,29.07,29.81,10.8,17,11.4,23
2,73.0,48.0,61.0,47,55.0,4.0,0.0,417.0,417.0,0.0,0.0,0.01,29.13,29.82,9.6,15,10.6,23
1,91.0,71.0,81.0,62,69.0,0.0,16.0,417.0,417.0,0.0,0.0,0.0,28.84,29.55,22.7,20,23.1,0
2,92.0,71.0,82.0,61,68.0,0.0,17.0,417.0,417.0,0.0,0.0,0.0,28.91,29.55,20.3,19,20.7,0
1,81.0,57.0,69.0,53,61.0,0.0,4.0,417.0,417.0,0.0,0.0,0.0,29.18,29.85,10.9,28,13.8,0
2,81.0,63.0,72.0,54,62.0,0.0,7.0,417.0,417.0,0.0,0.0,0.0,29.24,29.83,9.3,26,12.4,0
1,79.0,52.0,66.0,47,57.0,0.0,1.0,416.0,416.0,0.0,0.0,0.0,29.36,30.07,0.3,33,5.0,0
2,79.0,57.0,68.0,49,58.0,0.0,3.0,416.0,416.0,0.0,0.0,0.0,29.42,30.05,2.4,19,4.7,0
1,81.0,55.0,68.0,51,59.0,0.0,3.0,416.0,416.0,0.0,0.0,0.0,29.34,30.05,4.8,17,5.6,0
2,81.0,61.0,71.0,50,60.0,0.0,6.0,416.0,416.0,0.0,0.0,0.0,29.39,30.04,4.6,16,5.8,0
1,86.0,58.0,72.0,52,61.0,0.0,7.0,416.0,416.0,0.0,0.0,0.0,29.41,30.11,4.9,11,6.9,0
2,85.0,65.0,75.0,51,61.0,0.0,10.0,416.0,416.0,0.0,0.0,0.0,29.47,30.09,6.6,9,8.4,0
1,83.0,62.0,73.0,50,60.0,0.0,8.0,416.0,416.0,0.0,0.0,0.0,29.44,30.16,8.3,5,8.8,0
2,82.0,66.0,74.0,51,61.0,0.0,9.0,416.0,416.0,0.0,0.0,0.0,29.49,30.14,9.4,5,10.0,0
1,87.0,60.0,74.0,53,62.0,0.0,9.0,416.0,416.0,0.0,0.0,0.0,29.36,30.09,7.2,5,8.6,0
2,86.0,68.0,77.0,53,62.0,0.0,12.0,416.0,416.0,0.0,0.0,0.0,29.28,29.97,7.0,5,8.1,0
1,89.0,64.0,77.0,55,64.0,0.0,12.0,416.0,416.0,0.0,0.0,0.0,29.3,30.02,5.6,5,6.8,0
2,89.0,68.0,79.0,54,63.0,0.0,14.0,416.0,416.0,0.0,0.0,0.0,29.36,30.0,5.9,7,6.4,0
1,91.0,63.0,77.0,56,64.0,0.0,12.0,416.0,416.0,0.0,0.0,0.0,29.28,29.99,4.1,6,4.9,0
2,89.0,67.0,78.0,56,65.0,0.0,13.0,416.0,416.0,0.0,0.0,0.0,29.34,29.97,3.8,9,4.1,0
1,93.0,66.0,80.0,60,67.0,0.0,15.0,416.0,416.0,0.0,0.0,0.01,29.26,29.97,4.8,28,5.8,45
2,92.0,68.0,80.0,61,68.0,0.0,15.0,416.0,416.0,0.0,0.0,0.01,29.33,29.96,2.1,22,6.1,19
1,91.0,70.0,81.0,64,70.0,0.0,16.0,416.0,416.0,0.0,0.0,0.0,29.23,29.95,2.8,11,6.3,19
2,91.0,71.0,81.0,65,70.0,0.0,16.0,416.0,416.0,0.0,0.0,0.16,29.28,29.93,4.0,11,6.1,19
1,89.0,69.0,79.0,65,70.0,0.0,14.0,416.0,416.0,0.0,0.0,0.28,29.12,29.84,14.0,20,15.1,94
2,89.0,73.0,81.0,65,70.0,0.0,16.0,416.0,416.0,0.0,0.0,0.02,29.19,29.83,12.2,20,12.6,94
1,80.0,65.0,73.0,55,63.0,0.0,8.0,416.0,416.0,0.0,0.0,0.58,29.26,29.95,10.7,28,11.4,23
2,81.0,65.0,73.0,55,63.0,0.0,8.0,416.0,416.0,0.0,0.0,0.93,29.31,29.93,10.1,29,11.3,25
1,84.0,61.0,73.0,52,61.0,0.0,8.0,416.0,416.0,0.0,0.0,0.0,29.39,30.1,7.8,27,8.8,0
2,85.0,62.0,74.0,50,61.0,0.0,9.0,416.0,416.0,0.0,0.0,0.0,29.46,30.09,5.9,28,7.7,0
1,77.0,61.0,69.0,51,60.0,0.0,4.0,416.0,416.0,0.0,0.0,0.01,29.36,30.08,3.5,3,10.7,23
2,80.0,66.0,73.0,51,61.0,0.0,8.0,416.0,416.0,0.0,0.0,0.01,29.41,30.06,3.7,2,9.6,23
1,76.0,61.0,69.0,50,58.0,0.0,4.0,417.0,417.0,0.0,0.0,0.01,29.33,30.06,7.8,6,8.7,23
2,75.0,62.0,69.0,49,58.0,0.0,4.0,417.0,417.0,0.0,0.0,0.01,29.39,30.05,6.5,7,8.1,23
1,67.0,62.0,65.0,58,61.0,0.0,0.0,417.0,417.0,0.0,0.0,0.05,29.23,29.96,7.6,12,9.0,25
2,68.0,61.0,65.0,60,62.0,0.0,0.0,417.0,417.0,0.0,0.0,0.34,29.28,29.95,7.3,11,8.1,25
1,77.0,63.0,70.0,62,65.0,0.0,5.0,417.0,417.0,0.0,0.0,0.0,29.26,29.97,7.0,9,8.0,3
2,75.0,65.0,70.0,62,65.0,0.0,5.0,417.0,417.0,0.0,0.0,0.0,29.33,29.96,5.6,10,6.0,3
1,89.0,65.0,77.0,66,70.0,0.0,12.0,417.0,417.0,0.0,0.0,0.0,29.38,30.07,3.9,14,6.8,3
2,86.0,67.0,77.0,67,70.0,0.0,12.0,417.0,417.0,0.0,0.0,0.0,29.44,30.06,4.0,12,5.9,3
1,92.0,70.0,81.0,69,72.0,0.0,16.0,418.0,418.0,0.0,0.0,0.16,29.39,30.11,6.1,22,7.1,76
2,91.0,73.0,82.0,69,72.0,0.0,17.0,418.0,418.0,0.0,0.0,0.01,29.45,30.09,7.3,21,8.1,3
1,91.0,71.0,81.0,70,72.0,0.0,16.0,418.0,418.0,0.0,0.0,0.15,29.29,30.02,7.5,24,8.8,72
2,89.0,71.0,80.0,69,72.0,0.0,15.0,418.0,418.0,0.0,0.0,0.35,29.36,30.0,7.9,24,8.5,84
1,74.0,58.0,66.0,55,60.0,0.0,1.0,419.0,419.0,0.0,0.0,0.0,29.41,30.09,11.9,3,12.5,0
2,73.0,61.0,67.0,56,61.0,0.0,2.0,419.0,419.0,0.0,0.0,0.0,29.43,30.07,12.2,2,13.3,0
