Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,hour,day,month,year,CodeSum_lb,eng1,eng2,eng3,eng4,eng5
1,2007-05-01,83.0,50.0,67.0,51,56.0,0.0,2.0,448.0,448.0,0.0,0.0,0.0,29.1,29.82,1.7,27,9.2,0,1,5,2007,0,14784.0,3752.0,2550.0,54.647887323943664,1.6559965855740504
2,2007-05-01,84.0,52.0,68.0,51,57.0,0.0,3.0,448.0,448.0,0.0,0.0,0.0,29.18,29.82,2.7,25,9.6,0,1,5,2007,0,14336.0,3876.0,2652.0,55.776659959758554,1.7430206237424548
1,2007-05-02,59.0,42.0,51.0,42,47.0,14.0,0.0,447.0,447.0,0.0,0.0,0.0,29.38,30.09,13.0,4,13.4,0,2,5,2007,2,7599.0,2397.0,1764.0,45.890993685609835,2.6994702168005786
2,2007-05-02,60.0,43.0,52.0,42,47.0,13.0,0.0,447.0,447.0,0.0,0.0,0.0,29.44,30.08,13.3,2,13.4,0,2,5,2007,3,7599.0,2444.0,1806.0,46.00000000000001,2.705882352941177
1,2007-05-03,66.0,46.0,56.0,40,48.0,9.0,0.0,446.0,446.0,0.0,0.0,0.0,29.39,30.12,11.7,7,11.9,0,3,5,2007,0,8920.0,2688.0,1840.0,46.83665338645419,2.3418326693227094
2,2007-05-03,67.0,48.0,58.0,40,50.0,7.0,0.0,446.0,446.0,0.0,0.0,0.0,29.46,30.12,12.9,6,13.2,0,3,5,2007,19,8474.0,2900.0,1920.0,48.90438247011952,2.573914866848396
1,2007-05-04,66.0,49.0,58.0,41,50.0,7.0,0.0,444.0,444.0,0.0,0.0,0.01,29.31,30.05,10.4,8,10.8,0,4,5,2007,23,7548.0,2900.0,2009.0,48.76871880199667,2.8687481648233337
2,2007-05-04,78.0,51.0,69.0,42,50.0,0.0,4.0,444.0,444.0,0.0,0.0,0.0,29.36,30.04,10.1,7,10.4,0,4,5,2007,0,11988.0,3450.0,2142.0,48.8681757656458,1.8099324357646593
1,2007-05-05,66.0,53.0,60.0,38,49.0,5.0,0.0,443.0,443.0,0.0,0.0,0.01,29.4,30.1,11.7,7,12.0,0,5,5,2007,0,5759.0,2940.0,2014.0,47.860465116279066,3.6815742397137745
2,2007-05-05,66.0,54.0,60.0,39,50.0,5.0,0.0,443.0,443.0,0.0,0.0,0.01,29.46,30.09,11.2,7,11.5,0,5,5,2007,0,5316.0,3000.0,2106.0,48.953140578265206,4.0794283815221
1,2007-05-06,68.0,49.0,59.0,30,46.0,6.0,0.0,442.0,442.0,0.0,0.0,0.0,29.57,30.29,14.4,11,15.0,0,6,5,2007,0,8398.0,2714.0,1470.0,44.90656982502476,2.363503675001303
2,2007-05-06,68.0,52.0,60.0,30,46.0,5.0,0.0,442.0,442.0,0.0,0.0,0.0,29.62,30.28,13.8,10,14.5,0,6,5,2007,0,7072.0,2760.0,1560.0,44.99735799207397,2.8123348745046233
1,2007-05-07,83.0,47.0,65.0,41,54.0,0.0,0.0,441.0,441.0,0.0,0.0,0.01,29.38,30.12,8.6,18,10.5,0,7,5,2007,23,15876.0,3510.0,1927.0,52.67330677290836,1.4631474103585655
2,2007-05-07,84.0,50.0,67.0,39,53.0,0.0,2.0,441.0,441.0,0.0,0.0,0.0,29.44,30.12,8.5,17,9.9,0,7,5,2007,0,14994.0,3551.0,1950.0,51.80345285524569,1.5236309663307555
1,2007-05-08,82.0,54.0,68.0,58,62.0,0.0,3.0,439.0,439.0,0.0,0.0,0.0,29.29,30.03,2.7,11,5.8,0,8,5,2007,2,12292.0,4216.0,3132.0,60.47219447219447,2.159721231149802
2,2007-05-08,80.0,60.0,70.0,57,63.0,0.0,5.0,439.0,439.0,0.0,0.0,0.01,29.36,30.02,2.5,8,5.4,0,8,5,2007,19,8780.0,4410.0,3420.0,61.61492338441039,3.0807461692205194
1,2007-05-09,77.0,61.0,69.0,59,63.0,0.0,4.0,438.0,438.0,0.0,0.0,0.13,29.21,29.94,3.9,9,6.2,0,9,5,2007,3,7008.0,4347.0,3599.0,61.46392785571142,3.8414954909819636
2,2007-05-09,76.0,63.0,70.0,60,63.0,0.0,5.0,438.0,438.0,0.0,0.0,0.02,29.28,29.93,3.9,7,5.9,0,9,5,2007,3,5694.0,4410.0,3780.0,61.631807550952225,4.740908273150171
1,2007-05-10,84.0,56.0,70.0,52,60.0,0.0,5.0,437.0,437.0,0.0,0.0,0.0,29.2,29.92,0.7,17,4.1,0,10,5,2007,2,12236.0,4200.0,2912.0,58.55614973262031,2.091291061879297
2,2007-05-10,83.0,59.0,71.0,52,61.0,0.0,6.0,437.0,437.0,0.0,0.0,0.0,29.26,29.91,2.0,9,3.9,0,10,5,2007,3,10488.0,4331.0,3068.0,59.67435640254096,2.48643151677254
1,2007-05-11,70.0,51.0,61.0,42,51.0,4.0,0.0,436.0,436.0,0.0,0.0,0.0,29.33,30.04,11.3,3,12.9,0,11,5,2007,0,8284.0,3111.0,2142.0,49.794607190412776,2.6207687994954094
2,2007-05-11,73.0,49.0,61.0,44,51.0,4.0,0.0,436.0,436.0,0.0,0.0,0.0,29.39,30.03,11.7,36,12.8,0,11,5,2007,0,10464.0,3111.0,2156.0,49.91308691308691,2.0797119547119545
1,2007-05-12,64.0,46.0,55.0,36,46.0,10.0,0.0,435.0,435.0,0.0,0.0,0.0,29.49,30.2,12.4,3,12.9,0,12,5,2007,0,7830.0,2530.0,1656.0,44.91854304635761,2.4954746136865342
2,2007-05-12,65.0,47.0,56.0,37,46.0,9.0,0.0,435.0,435.0,0.0,0.0,0.0,29.54,30.19,12.7,1,13.0,0,12,5,2007,0,7830.0,2576.0,1739.0,45.00960582974495,2.5005336572080528
1,2007-05-13,69.0,43.0,56.0,33,46.0,9.0,0.0,434.0,434.0,0.0,0.0,0.0,29.49,30.24,6.6,14,8.1,0,13,5,2007,0,11284.0,2576.0,1419.0,44.85912698412698,1.7253510378510377
2,2007-05-13,69.0,44.0,57.0,32,46.0,8.0,0.0,434.0,434.0,0.0,0.0,0.0,29.55,30.24,6.4,11,7.6,0,13,5,2007,0,10850.0,2622.0,1408.0,44.95039682539683,1.7980158730158733
1,2007-05-14,90.0,56.0,73.0,47,59.0,0.0,8.0,433.0,433.0,0.0,0.0,0.0,29.23,29.97,16.9,21,17.3,0,14,5,2007,0,14722.0,4307.0,2632.0,57.54320987654321,1.6924473493100944
2,2007-05-14,90.0,54.0,72.0,45,58.0,0.0,7.0,433.0,433.0,0.0,0.0,0.0,29.31,29.98,14.1,21,14.6,0,14,5,2007,0,15588.0,4176.0,2430.0,56.70380253502335,1.5751056259728708
1,2007-05-15,80.0,57.0,69.0,56,61.0,0.0,4.0,432.0,432.0,0.0,0.0,0.38,29.13,29.84,8.1,27,12.3,0,15,5,2007,25,9936.0,4209.0,3192.0,59.54859249329759,2.5890692388390257
2,2007-05-15,82.0,56.0,69.0,56,61.0,0.0,4.0,432.0,432.0,0.0,0.0,0.6,29.19,29.83,8.1,25,10.8,0,15,5,2007,84,11232.0,4209.0,3136.0,59.69125041904124,2.2958173238092785
1,2007-05-16,66.0,44.0,55.0,43,48.0,10.0,0.0,431.0,431.0,0.0,0.0,0.14,29.33,30.03,7.8,36,12.2,0,16,5,2007,25,9482.0,2640.0,1892.0,46.88111888111888,2.1309599491417672
2,2007-05-16,64.0,45.0,55.0,42,47.0,10.0,0.0,431.0,431.0,0.0,0.0,0.07,29.39,30.03,8.0,36,11.8,0,16,5,2007,25,8189.0,2585.0,1890.0,45.998334998335,2.420964999912368
1,2007-05-17,62.0,43.0,53.0,32,43.0,12.0,0.0,430.0,430.0,0.0,0.0,0.0,29.55,30.27,10.5,3,11.3,0,17,5,2007,0,8170.0,2279.0,1376.0,41.97720515361745,2.209326587032497
2,2007-05-17,61.0,44.0,53.0,32,43.0,12.0,0.0,430.0,430.0,0.0,0.0,0.0,29.62,30.27,11.7,1,12.2,0,17,5,2007,0,7310.0,2279.0,1408.0,42.07664354146019,2.475096678909423
1,2007-05-18,71.0,42.0,57.0,30,46.0,8.0,0.0,429.0,429.0,0.0,0.0,0.0,29.53,30.25,5.4,25,7.5,0,18,5,2007,0,12441.0,2622.0,1260.0,44.90512396694215,1.548452550584212
2,2007-05-18,70.0,43.0,57.0,31,47.0,8.0,0.0,429.0,429.0,0.0,0.0,0.0,29.6,30.26,3.4,22,5.5,0,18,5,2007,0,11583.0,2679.0,1333.0,45.97488433575678,1.7027734939169177
1,2007-05-19,80.0,56.0,68.0,39,53.0,0.0,3.0,428.0,428.0,0.0,0.0,0.0,29.34,30.08,11.1,24,11.4,0,19,5,2007,0,10272.0,3604.0,2184.0,51.69614361702128,2.1540059840425534
2,2007-05-19,80.0,56.0,68.0,37,53.0,0.0,3.0,428.0,428.0,0.0,0.0,0.0,29.41,30.08,11.1,23,11.4,0,19,5,2007,0,10272.0,3604.0,2072.0,51.81948138297873,2.1591450576241136
1,2007-05-20,69.0,43.0,56.0,40,44.0,9.0,0.0,427.0,427.0,0.0,0.0,0.07,29.38,30.11,10.4,4,10.7,0,20,5,2007,48,11102.0,2464.0,1720.0,42.93324476917967,1.651278644968449
2,2007-05-20,69.0,44.0,57.0,41,45.0,8.0,0.0,427.0,427.0,0.0,0.0,0.11,29.44,30.11,8.6,3,9.7,0,20,5,2007,83,10675.0,2565.0,1804.0,43.998671537695124,1.7599468615078049
