Station,Date_wthr,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,day_wthr,month_wthr,year_wthr,CodeSum_lb,Tmax:Tmin:Sunst,Tavg:WB,Hot_wet,DP:Tmin,P:sea:WB,T_diff,Dry,Dry_Wet_Diff,month_cat,DewPoint:Sunrise
1,2007-05-01,83.0,50.0,67.0,51,56.0,0.0,2.0,448.0,1849.0, ,0.0,0.0,0.0,29.1,29.82,1.7,27,9.2,1,5,2007,0,61017.0,3752.0,0.0,2550.0,54.647887323943664,1,1,0,1,22848.0
2,2007-05-01,84.0,52.0,68.0,51,57.0,0.0,3.0,448.0,1849.0, ,0.0,0.0,0.0,29.18,29.82,2.7,25,9.6,1,5,2007,0,59168.0,3876.0,0.0,2652.0,55.776659959758554,1,1,1,1,22848.0
1,2007-05-02,59.0,42.0,51.0,42,47.0,14.0,0.0,447.0,1850.0,BR,0.0,0.0,0.0,29.38,30.09,13.0,4,13.4,2,5,2007,2,31450.0,2397.0,0.0,1764.0,45.890993685609835,0,0,0,1,18774.0
2,2007-05-02,60.0,43.0,52.0,42,47.0,13.0,0.0,447.0,1850.0,BR HZ,0.0,0.0,0.0,29.44,30.08,13.3,2,13.4,2,5,2007,3,31450.0,2444.0,0.0,1806.0,46.00000000000001,0,0,0,1,18774.0
1,2007-05-03,66.0,46.0,56.0,40,48.0,9.0,0.0,446.0,1851.0, ,0.0,0.0,0.0,29.39,30.12,11.7,7,11.9,3,5,2007,0,37020.0,2688.0,0.0,1840.0,46.83665338645419,0,0,1,1,17840.0
2,2007-05-03,67.0,48.0,58.0,40,50.0,7.0,0.0,446.0,1851.0,HZ,0.0,0.0,0.0,29.46,30.12,12.9,6,13.2,3,5,2007,19,35169.0,2900.0,0.0,1920.0,48.90438247011952,0,0,1,1,17840.0
1,2007-05-04,66.0,49.0,58.0,41,50.0,7.0,0.0,444.0,1852.0,RA,0.0,0.0,0.01,29.31,30.05,10.4,8,10.8,4,5,2007,23,31484.0,2900.0,0.66,2009.0,48.76871880199667,0,0,1,1,18204.0
2,2007-05-04,78.0,51.0,69.0,42,50.0,0.0,4.0,444.0,1852.0, ,0.0,0.0,0.0,29.36,30.04,10.1,7,10.4,4,5,2007,0,50004.0,3450.0,0.0,2142.0,48.8681757656458,1,0,1,1,18648.0
1,2007-05-05,66.0,53.0,60.0,38,49.0,5.0,0.0,443.0,1853.0, ,0.0,0.0,0.01,29.4,30.1,11.7,7,12.0,5,5,2007,0,24089.0,2940.0,0.66,2014.0,47.860465116279066,0,0,1,1,16834.0
2,2007-05-05,66.0,54.0,60.0,39,50.0,5.0,0.0,443.0,1853.0, ,0.0,0.0,0.01,29.46,30.09,11.2,7,11.5,5,5,2007,0,22236.0,3000.0,0.66,2106.0,48.953140578265206,0,0,1,1,17277.0
1,2007-05-06,68.0,49.0,59.0,30,46.0,6.0,0.0,442.0,1855.0, ,0.0,0.0,0.0,29.57,30.29,14.4,11,15.0,6,5,2007,0,35245.0,2714.0,0.0,1470.0,44.90656982502476,0,0,1,1,13260.0
2,2007-05-06,68.0,52.0,60.0,30,46.0,5.0,0.0,442.0,1855.0, ,0.0,0.0,0.0,29.62,30.28,13.8,10,14.5,6,5,2007,0,29680.0,2760.0,0.0,1560.0,44.99735799207397,0,0,1,1,13260.0
1,2007-05-07,83.0,47.0,65.0,41,54.0,0.0,0.0,441.0,1856.0,RA,0.0,0.0,0.01,29.38,30.12,8.6,18,10.5,7,5,2007,23,66816.0,3510.0,0.8300000000000001,1927.0,52.67330677290836,1,1,1,1,18081.0
2,2007-05-07,84.0,50.0,67.0,39,53.0,0.0,2.0,441.0,1856.0, ,0.0,0.0,0.0,29.44,30.12,8.5,17,9.9,7,5,2007,0,63104.0,3551.0,0.0,1950.0,51.80345285524569,1,0,1,1,17199.0
1,2007-05-08,82.0,54.0,68.0,58,62.0,0.0,3.0,439.0,1857.0,BR,0.0,0.0,0.0,29.29,30.03,2.7,11,5.8,8,5,2007,2,51996.0,4216.0,0.0,3132.0,60.47219447219447,1,1,0,1,25462.0
2,2007-05-08,80.0,60.0,70.0,57,63.0,0.0,5.0,439.0,1857.0,HZ,0.0,0.0,0.01,29.36,30.02,2.5,8,5.4,8,5,2007,19,37140.0,4410.0,0.8,3420.0,61.61492338441039,0,1,1,1,25023.0
1,2007-05-09,77.0,61.0,69.0,59,63.0,0.0,4.0,438.0,1858.0,BR HZ,0.0,0.0,0.13,29.21,29.94,3.9,9,6.2,9,5,2007,3,29728.0,4347.0,10.01,3599.0,61.46392785571142,0,1,0,1,25842.0
2,2007-05-09,76.0,63.0,70.0,60,63.0,0.0,5.0,438.0,1858.0,BR HZ,0.0,0.0,0.02,29.28,29.93,3.9,7,5.9,9,5,2007,3,24154.0,4410.0,1.52,3780.0,61.631807550952225,0,1,0,1,26280.0
1,2007-05-10,84.0,56.0,70.0,52,60.0,0.0,5.0,437.0,1859.0,BR,0.0,0.0,0.0,29.2,29.92,0.7,17,4.1,10,5,2007,2,52052.0,4200.0,0.0,2912.0,58.55614973262031,1,1,1,1,22724.0
2,2007-05-10,83.0,59.0,71.0,52,61.0,0.0,6.0,437.0,1859.0,BR HZ,0.0,0.0,0.0,29.26,29.91,2.0,9,3.9,10,5,2007,3,44616.0,4331.0,0.0,3068.0,59.67435640254096,1,1,1,1,22724.0
