,Species,Trap,Latitude,Longitude,AddressAccuracy,WnvPresent,month,day,year,Tmax_1,Tmin_1,Tavg_1,DewPoint_1,WetBulb_1,Heat_1,Cool_1,Sunrise_1,Sunset_1,Depth_1,SnowFall_1,PrecipTotal_1,StnPressure_1,SeaLevel_1,ResultSpeed_1,ResultDir_1,AvgSpeed_1,Tmax_2,Tmin_2,Tavg_2,DewPoint_2,WetBulb_2,Heat_2,Cool_2,Sunrise_2,Sunset_2,Depth_2,SnowFall_2,PrecipTotal_2,StnPressure_2,SeaLevel_2,ResultSpeed_2,ResultDir_2,AvgSpeed_2
0,2,1,41.95469,-87.800991,9,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
1,3,1,41.95469,-87.800991,9,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
2,3,8,41.994991,-87.769279,9,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
3,2,15,41.974089,-87.824812,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
4,3,15,41.974089,-87.824812,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
5,3,34,41.9216,-87.666455,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
6,3,35,41.891118,-87.65449100000001,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
7,2,37,41.867108,-87.654224,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
8,3,37,41.867108,-87.654224,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
9,3,38,41.896282,-87.655232,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
10,2,39,41.919343,-87.694259,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
11,2,41,41.921965,-87.632085,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
12,3,41,41.921965,-87.632085,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
13,2,68,41.688324,-87.676709,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
14,3,68,41.688324,-87.676709,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
15,3,75,41.862292,-87.64886,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
16,3,77,41.720848,-87.666014,9,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
17,3,80,41.731922,-87.677512,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
18,1,80,41.731922,-87.677512,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
19,2,91,41.891126,-87.61156,5,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
20,3,91,41.891126,-87.61156,5,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
21,2,96,41.999128999999996,-87.795585,8,0,05,29,2007,88.0,60.0,74.0,58,65.0,0.0,9.0,421.0,421.0,0.0,0.0,0.0,29.39,30.11,5.8,18,6.5,88.0,65.0,77.0,59,66.0,0.0,12.0,421.0,421.0,0.0,0.0,0.0,29.44,30.09,5.8,16,7.4
